category,correct_response,game,value,clue
HITTITE HODGEPODGE,,"Show #3008 - Wednesday, October 1, 1997",200,"Robert Zemeckis directed this 1988 Disney hit, undoubtely the biggest bunny film of the decade"
CLASSICAL MUSICIANS,Sahara Desert,"Show #3008 - Wednesday, October 1, 1997",200,"M'zab, Tanezrouft & Suf are regions of this desert in Algeria"
TELEVISED HISTORY,Orpheus,"Show #3008 - Wednesday, October 1, 1997",400,"A New York City-based conductorless chamber orchestra is named for this mythic musician, Eurydice's mate"
PRIME TIME TV,Brain,"Show #3005 - Friday, September 26, 1997",300,"Parietal lobe,"
"CROSSWORD CLUES ""U""",,"Show #3005 - Friday, September 26, 1997",300,"Ray Wise played Reese & Peyton's dad on ""Savannah"" & Laura Palmer's father on this series"
WORLD WAR I,Usher,"Show #3005 - Friday, September 26, 1997",300,"""Leading"" man in a theater, or at a wedding"
MIDDLE NAMES,Eddie Rickenbacker,"Show #3005 - Friday, September 26, 1997",300,4 of this U.S. air ace's 26 confirmed victories were balloons
INTO THE WOODS,Sylvester Stallone,"Show #3005 - Friday, September 26, 1997",300,"Yo!  His middle name is either Enzio or Gardenzio, depending on whom you ask"
CONTEMPORARY AUTHORS,Warren G. Harding,"Show #3005 - Friday, September 26, 1997",300,Leonard Wood lost the 1920 Republican nomination to this man who went on to win the presidency
PRIME TIME TV,Lungs,"Show #3005 - Friday, September 26, 1997",400,"Phagocytes,"
"CROSSWORD CLUES ""U""",,"Show #3005 - Friday, September 26, 1997",400,Cicely Tyson guest-starred on the first episode of this Chad Everett hospital series in 1969
WORLD WAR I,Upside down,"Show #3005 - Friday, September 26, 1997",400,Two words of 6 & 4 letters
MIDDLE NAMES,Voltaire,"Show #3005 - Friday, September 26, 1997",400,"The Danton was sunk, but the French battleship named for this ""Candide"" author survived the war"
SAUCE,Romania,"Show #3006 - Monday, September 29, 1997",100,Dracula could tell you that Walachia & Transylvania are regions of this country
DOUBLE TALK,Quesadilla,"Show #3008 - Wednesday, October 1, 1997",400,"It's a tortilla that's been filled, folded & fried"
HITTITE HODGEPODGE,Sir Richard Attenborough,"Show #3008 - Wednesday, October 1, 1997",400,"He wrote of the nearly 20 years it took to bring ""Gandhi"" to the screen in his 1982 book ""In Search of Gandhi"""
CLASSICAL MUSICIANS,Victoria Falls,"Show #3008 - Wednesday, October 1, 1997",400,The exit at the base of these falls is known as the Boiling Pot
TELEVISED HISTORY,Mezzo-soprano,"Show #3008 - Wednesday, October 1, 1997",600,Marilyn Horne revived many obscure roles for this vocal range just below true soprano
CONNECTIONS,The Funeral Home On The Range,"Show #3008 - Wednesday, October 1, 1997",600,Mortuary where the deer & the antelope lie in state
INTO THE WOODS,Waldo,"Show #3005 - Friday, September 26, 1997",400,"It was the middle name of author Ralph Ellison & essayist Ralph Emerson, for whom he was named"
CONTEMPORARY AUTHORS,Evelyn Wood,"Show #3005 - Friday, September 26, 1997",400,"She dubbed her system ""Reading Dynamics"""
PRIME TIME TV,Kidney,"Show #3005 - Friday, September 26, 1997",500,"Glomeruli,"
"CROSSWORD CLUES ""U""",,"Show #3005 - Friday, September 26, 1997",500,This Melanie Griffith film about a spunky secretary spawned a 1990 sitcom starring Sandra Bullock
WORLD WAR I,Urban,"Show #3005 - Friday, September 26, 1997",500,Pope up for renewal
MIDDLE NAMES,"""Big Bertha""","Show #3005 - Friday, September 26, 1997",500,"Nicknamed for the granddaughter of arms maker Alfred Krupp, this howitzer weighed 43 tons"
INTO THE WOODS,Riddle,"Show #3005 - Friday, September 26, 1997",500,This middle name of James Hoffa is as puzzling as his disappearance
CONTEMPORARY AUTHORS,Natalie Wood,"Show #3005 - Friday, September 26, 1997",500,"Born Natasha Gurdin in 1938, she acted under this name"
PRIME TIME TV,John Grisham,"Show #3005 - Friday, September 26, 1997",200,"In 1997 this author of ""The Firm"" & ""The Rainmaker"" published a new legal thriller, ""The Partner"""
"CROSSWORD CLUES ""U""",India,"Show #3005 - Friday, September 26, 1997",200,"Except for its coast, Bangladesh is almost entirely surrounded by this country"
WORLD WAR I,White (alba),"Show #3005 - Friday, September 26, 1997",200,"The name of the alb, a vestment worn by priests, is derived from a Latin word for this color"
MIDDLE NAMES,Roman Polanski,"Show #3005 - Friday, September 26, 1997",200,"""Roman"" was this director's 1984 autobiography"
INTO THE WOODS,Antarctica,"Show #3005 - Friday, September 26, 1997",200,In 1996 an iceberg the size of Rhode Island broke off the coast of this continent
CONTEMPORARY AUTHORS,Neil Young,"Show #3005 - Friday, September 26, 1997",200,"He performed with Crosby, Stills & Nash in 1970 & with Pearl Jam 25 years later"
FOR MOTHER GOOSE,Tomato,"Show #3006 - Monday, September 29, 1997",100,"Whether it's a fruit or vegetable, it's the basis of pomodoro & marinara sauces for pasta"
THE 1980s,Nightgown,"Show #3006 - Monday, September 29, 1997",100,"Garment worn by Wee Willie Winkie as he ""runs through the town, upstairs and downstairs"""
TV VEHICLES,Rodney Dangerfield,"Show #3006 - Monday, September 29, 1997",100,"In 1981 he won some respect & a Grammy for his comedy album ""No Respect"""
"THE ""ROCKY""s",His motorcycle,"Show #3006 - Monday, September 29, 1997",100,At first ABC would only let Fonzie wear a leather jacket when he was with this vehicle
HISTORIC QUOTES,Rocky road,"Show #3006 - Monday, September 29, 1997",100,Chocolate ice cream with marshmallows & chocolate-covered almonds
SAUCE,Portugal,"Show #3006 - Monday, September 29, 1997",200,"Cape Roca, mainland Europe's westernmost point, is on the coast of this country"
FOR MOTHER GOOSE,Gravy boat,"Show #3006 - Monday, September 29, 1997",200,This small pitcher with a nautical name is used to pour sauces over your food
THE 1980s,Candlestick maker,"Show #3006 - Monday, September 29, 1997",200,The only one of The 3 Men In A Tub not affiliated with the food industry
TV VEHICLES,Dr. Ruth Westheimer,"Show #3006 - Monday, September 29, 1997",200,"A 1986 article on her in Ladies' Home Journal was titled ""Talking With Doctor Goodsex"""
"THE ""ROCKY""s",The A-Team,"Show #3006 - Monday, September 29, 1997",200,Mr. T drove this title group around in a black GMC van with red trim
HISTORIC QUOTES,Rocky Raccoon,"Show #3006 - Monday, September 29, 1997",200,"He ""checked into his room, only to find Gideon's Bible"""
SAUCE,Aegean Sea,"Show #3006 - Monday, September 29, 1997",300,Islands located in this arm of the Mediterranean include the Cyclades & Dodecanese
FOR MOTHER GOOSE,Hunger,"Show #3006 - Monday, September 29, 1997",300,"In ""Don Quixote"", Cervantes asserted that this sensation ""is the best sauce in the world"""
THE 1980s,The Sparrow,"Show #3006 - Monday, September 29, 1997",300,"""Who killed Cock Robin?  'I,' said"" he, "" 'with my bow and arrow, I killed Cock Robin' """
TV VEHICLES,California condor,"Show #3006 - Monday, September 29, 1997",,(VIDEO DAILY DOUBLE):
SINGING SIBLINGS,Thomas Edison,"Show #3007 - Tuesday, September 30, 1997",100,"On January 27, 1880 he received a patent for his incandescent light"
DOUBLE TALK,Quiche,"Show #3008 - Wednesday, October 1, 1997",600,This savory pie can have bacon bits added to the custard filling
HITTITE HODGEPODGE,Mike Nichols,"Show #3008 - Wednesday, October 1, 1997",600,"He won 1967's Best Director Oscar for ""The Graduate"", which was only his second film"
CHILDREN'S LIT,Ernie Kovacs,"Show #3008 - Wednesday, October 1, 1997",600,This TV comic known for his moustache & cigars was also known for characters such as Percy Dovetonsils
CLASSICAL MUSICIANS,Atlas Mountains,"Show #3008 - Wednesday, October 1, 1997",600,This mountain system in NW Africa is actually an extension of Europe's Alpine system
TELEVISED HISTORY,the oboe,"Show #3008 - Wednesday, October 1, 1997",,"(AUDIO DAILY DOUBLE): Heinz Holliger, heard here playing Bach, is the most famous modern performer on this instrument"
CONNECTIONS,Shirley Chisholm Trail,"Show #3008 - Wednesday, October 1, 1997",800,The first black Congresswoman along the route on which cattle were driven from Texas to Kansas
DOUBLE TALK,Quince,"Show #3008 - Wednesday, October 1, 1997",800,This yellow-skinned fruit has been used for centuries in jams & jellies
HITTITE HODGEPODGE,,"Show #3008 - Wednesday, October 1, 1997",800,"This jury drama was the first feature Sidney Lumet directed; Henry Fonda, its producer & star, hired him"
CHILDREN'S LIT,Adolf Hitler & Charlie Chaplin,"Show #3008 - Wednesday, October 1, 1997",,"(VIDEO DAILY DOUBLE): These 2 men, born 4 days apart in 1889, sported the similar moustaches seen here"
PRIME TIME TV,Gore Vidal,"Show #3005 - Friday, September 26, 1997",400,His grandfather Thomas Gore was a senator from Oklahoma
"CROSSWORD CLUES ""U""",The Matterhorn,"Show #3005 - Friday, September 26, 1997",400,"Monte Cervino is the Italian name for this peak, located in the Alps & copied in Anaheim"
WORLD WAR I,Klutz,"Show #3005 - Friday, September 26, 1997",400,"From Yiddish, for a wooden beam, it describes a person so clumsy he might bump into one"
MIDDLE NAMES,Alfred Hitchcock,"Show #3005 - Friday, September 26, 1997",,(VIDEO DAILY DOUBLE):
INTO THE WOODS,Mudville,"Show #3005 - Friday, September 26, 1997",400,"It's the home town of Casey's baseball team in the poem ""Casey At The Bat"""
CONTEMPORARY AUTHORS,k.d. lang,"Show #3005 - Friday, September 26, 1997",,(AUDIO DAILY DOUBLE):
PRIME TIME TV,Arthur C. Clarke,"Show #3005 - Friday, September 26, 1997",600,"Astronaut Dave Bowman is brought back to life in his recent novel ""3001:  The Final Odyssey"""
"CROSSWORD CLUES ""U""",Ecuador,"Show #3005 - Friday, September 26, 1997",600,"Provinces of this country include El Oro, Chimborazo & Colon or the Galapagos Islands"
WORLD WAR I,Duck,"Show #3005 - Friday, September 26, 1997",600,"The name of this tent fabric comes from a Dutch word for ""cloth"", not from a web-footed bird"
MIDDLE NAMES,Ingmar Bergman,"Show #3005 - Friday, September 26, 1997",600,The Swedish Film Institute honors excellence in filmmaking with an annual prize named for this director
INTO THE WOODS,"""DEWEY DEFEATS TRUMAN""","Show #3005 - Friday, September 26, 1997",600,It was the Chicago Tribune's erroneous 1948 election night headline
CONTEMPORARY AUTHORS,Trumpet,"Show #3005 - Friday, September 26, 1997",600,"Jazz musician Maynard Ferguson is renowned for his high, squealing tone on this instrument"
PRIME TIME TV,Tom Wolfe,"Show #3005 - Friday, September 26, 1997",800,"This ""Bonfire Of The Vanities"" author once tried out as a pitcher for the New York Giants"
"CROSSWORD CLUES ""U""",Negev,"Show #3005 - Friday, September 26, 1997",800,Beersheba is one of the main cities of this desert region of Israel
"THE ""ROCKY""s",Taxi,"Show #3006 - Monday, September 29, 1997",300,"The type of title automobile driven by Elaine Nardo, Tony Banta & Alex Reiger"
HISTORIC QUOTES,,"Show #3006 - Monday, September 29, 1997",300,"This 1975 cult film featured such songs as ""Dammit, Janet"" & ""Over At The Frankenstein Place"""
SAUCE,Sicily,"Show #3006 - Monday, September 29, 1997",400,Malta lies about 60 miles south of this largest Mediterranean island
FOR MOTHER GOOSE,Bordelaise sauce,"Show #3006 - Monday, September 29, 1997",400,"The name of this wine sauce served on meats betrays its point of origin, Bordeaux"
THE 1980s,Marries,"Show #3006 - Monday, September 29, 1997",400,"""Needles and pins, needles and pins"", when a man"" does this ""his trouble begins"""
TV VEHICLES,Eric Heiden,"Show #3006 - Monday, September 29, 1997",400,"At the 1980 Winter Olympics he set records in the 500-, 1,000-, 1,500-, 5,000- & 10,000-m. speed skating races"
"THE ""ROCKY""s",Quinton McHale,"Show #3006 - Monday, September 29, 1997",400,"Ernest Borgnine played this man, skipper of the U.S. Navy's PT73"
HISTORIC QUOTES,"Rocky Top, Tennessee","Show #3006 - Monday, September 29, 1997",400,"In the bluegrass classic, it's ""Home sweet home to me"""
SAUCE,Baltic Sea,"Show #3006 - Monday, September 29, 1997",500,About a tenth of Estonia's land area consists of islands in this sea
FOR MOTHER GOOSE,Tabasco sauce,"Show #3006 - Monday, September 29, 1997",500,"Avery Island, Louisiana has shipped little bottles of this hot sauce to the world since 1868"
THE 1980s,,"Show #3006 - Monday, September 29, 1997",500,"""Tom, Tom the piper's son, he learned to play when he was young"", but he could play only this song"
TV VEHICLES,Hirohito,"Show #3006 - Monday, September 29, 1997",500,"At age 87, after 62 years of rule, this emperor died January 7, 1989"
"THE ""ROCKY""s",KITT,"Show #3006 - Monday, September 29, 1997",500,"On ""Knight Rider"" William Daniels provided the voice of this talking trans-am"
HISTORIC QUOTES,Rocky Graziano,"Show #3006 - Monday, September 29, 1997",500,Somebody up there must have liked him; he was world middleweight boxing champ in 1947 & '48
BUSINESS & INDUSTRY,The Everly Brothers,"Show #3007 - Tuesday, September 30, 1997",100,"1997 marks the 40th anniversary of their first No. 1 hit, ""Wake Up Little Susie"""
"""MONKEY"" SHINES",Super Bowl XXXI,"Show #3007 - Tuesday, September 30, 1997",100,"30-second TV ads for this January 26, 1997 sporting event sold for an average of $1.2 million"
INSIDE THE BELTWAY,Monkey bars,"Show #3007 - Tuesday, September 30, 1997",100,This term for a jungle gym dates back to the 1950s
SUN POTPOURRI,Newt Gingrich,"Show #3007 - Tuesday, September 30, 1997",100,"On January 7, 1997 he became the first Republican in 68 years to win successive terms as House speaker"
FOREIGN INVENTIONS,Sunny side up,"Show #3007 - Tuesday, September 30, 1997",100,It describes a fried egg with the yolk on top
SINGING SIBLINGS,Clara Barton,"Show #3007 - Tuesday, September 30, 1997",200,"She represented the U.S. at the 1884 Red Cross conference in Geneva, Switzerland"
BUSINESS & INDUSTRY,The Pointer Sisters,"Show #3007 - Tuesday, September 30, 1997",200,"In the 1980s they had several hits, including ""I'm So Excited"" & ""He's So Shy"""
"""MONKEY"" SHINES",Corvette,"Show #3007 - Tuesday, September 30, 1997",200,The 1997 model of this Chevrolet sports car is only the 4th redesign since its 1953 introduction
INSIDE THE BELTWAY,Said the monkey to the chimp,"Show #3007 - Tuesday, September 30, 1997",200,"It follows ""Ab-a, dab-a, dab-a, dab-a, dab-a, dab-a, dab"""
SUN POTPOURRI,Vermont,"Show #3007 - Tuesday, September 30, 1997",200,"In 1996 this ""Green Mountain"" state's Bernie Sanders was re-elected as the lone independent in the House"
FOREIGN INVENTIONS,Japan,"Show #3007 - Tuesday, September 30, 1997",200,"Its official name, ""Nihon"", means ""Land Of The Rising Sun"""
SINGING SIBLINGS,Washington Monument,"Show #3007 - Tuesday, September 30, 1997",300,"On February 21, 1885 this 555' memorial was dedicated in the nation's capital"
BUSINESS & INDUSTRY,David Cassidy,"Show #3007 - Tuesday, September 30, 1997",300,"He & half-brother Shaun appeared together on Broadway in the musical ""Blood Brothers"""
"""MONKEY"" SHINES",Apple,"Show #3007 - Tuesday, September 30, 1997",300,"In December 1996 Steve Jobs returned to this company as a consultant when it bought NeXT Software, Inc."
